id	poem_id	poem_name	prompt_name	version	vote
0	1	静夜思	naive_dalle2	v1	0
1	1	静夜思	naive_dalle2	v2	0
2	2	早发白帝城	naive_dalle2	v1	0
3	2	早发白帝城	naive_dalle2	v2	0
4	3	望庐山瀑布	naive_dalle2	v1	0
5	3	望庐山瀑布	naive_dalle2	v2	0
6	4	秋浦歌	naive_dalle2	v1	0
7	4	秋浦歌	naive_dalle2	v2	0
8	5	夜宿山寺	naive_dalle2	v1	0
9	5	夜宿山寺	naive_dalle2	v2	0
10	6	赠汪伦	naive_dalle2	v1	0
11	6	赠汪伦	naive_dalle2	v2	0
12	7	黄鹤楼送孟浩然之广陵	naive_dalle2	v1	0
13	7	黄鹤楼送孟浩然之广陵	naive_dalle2	v2	0
14	8	望天门山	naive_dalle2	v1	0
15	8	望天门山	naive_dalle2	v2	0
16	9	绝句	naive_dalle2	v1	0
17	9	绝句	naive_dalle2	v2	0
18	10	春夜喜雨	naive_dalle2	v1	0
19	10	春夜喜雨	naive_dalle2	v2	0
20	11	望岳	naive_dalle2	v2	0
21	12	春望	naive_dalle2	v2	0
22	13	绝句漫兴九首・其五	naive_dalle2	v2	0
23	14	登高	naive_dalle2	v2	0
24	15	曲江二首·其一	naive_dalle2	v2	0
25	16	绝句	naive_dalle2	v2	0
26	17	池上	naive_dalle2	v2	0
27	18	忆江南・江南好	naive_dalle2	v2	0
28	19	赋得古原草送别	naive_dalle2	v2	0
29	20	大林寺桃花	naive_dalle2	v2	0
30	21	遗爱寺	naive_dalle2	v2	0
31	22	过华清宫	naive_dalle2	v2	0
32	23	泊秦淮	naive_dalle2	v2	0
33	24	山行	naive_dalle2	v2	0
34	25	清明	naive_dalle2	v2	0
35	26	秋夕	naive_dalle2	v2	0
36	27	相思	naive_dalle2	v2	0
37	28	鸟鸣涧	naive_dalle2	v2	0
38	29	使至塞上	naive_dalle2	v2	0
39	30	山居秋暝	naive_dalle2	v2	0
40	31	九月九日忆山东兄弟	naive_dalle2	v2	0
41	32	送元二使安西	naive_dalle2	v2	0
42	33	竹枝词	naive_dalle2	v2	0
43	34	浪淘沙・莫道谗言如浪深	naive_dalle2	v2	0
44	35	酬乐天扬州初逢席上见赠	naive_dalle2	v2	0
45	36	浪淘沙・九曲黄河万里沙	naive_dalle2	v2	0
46	37	乌衣巷	naive_dalle2	v2	0
47	38	乐游原	naive_dalle2	v2	0
48	39	无题	naive_dalle2	v2	0
49	40	霜月	naive_dalle2	v2	0
50	41	从军行	naive_dalle2	v2	0
